Id,Requester id,Group,Status,Priority,Via,Created at,Updated at,Assigned at,Initially assigned at,Solved at,Resolution time,Satisfaction Score,Reopens,Replies,First reply time in minutes within business hours,First resolution time in minutes,First resolution time in minutes within business hours,Full resolution time in minutes,Full resolution time in minutes within business hours,Requester wait time in minutes,Requester wait time in minutes within business hours,Manual Tagging of Categories [list]
302214,7303444921245,Support,Closed,Low,Mail,13-04-2023 17:38,18-06-2023 10:34,13-04-2023 18:12,13-04-2023 18:12,29-05-2023 10:09,1097,4,7,7,61,61,61,65791,32671,1020,300,Claims
303422,7309754761245,Reimbursement Claims,Solved,Low,Mail,14-04-2023 19:49,06-06-2023 01:59,25-05-2023 14:38,14-04-2023 20:21,06-06-2023 01:59,1254,,7,9,71,10070,5030,75250,37511,17109,8889,-
304148,10088583544477,Support,Closed,Low,Mail,16-04-2023 09:24,31-05-2023 06:09,16-04-2023 11:56,16-04-2023 11:56,02-05-2023 12:11,387,Offered,7,5,177,177,177,23207,11687,2569,1296,Claims
314932,7302855500317,Reimbursement Claims,Closed,Low,Mail,28-04-2023 10:06,15-06-2023 16:37,09-05-2023 16:55,28-04-2023 10:36,26-05-2023 15:58,678,,7,12,263,16248,8328,40672,20512,28327,14467,-
328272,10129329292317,Support,Solved,Low,Mail,15-05-2023 12:13,02-06-2023 16:34,15-05-2023 13:07,15-05-2023 13:07,02-06-2023 16:34,436,4,7,2,73,73,73,26181,13221,226,226,Claims
334467,7424530468637,Support,Solved,Low,Mail,22-05-2023 12:49,14-06-2023 12:04,22-05-2023 13:15,22-05-2023 13:15,13-06-2023 19:42,535,1,7,12,87,469,469,32092,16252,12433,6672,Claims
336807,11140533470749,Support,Solved,Low,Mail,24-05-2023 13:27,31-05-2023 16:37,24-05-2023 14:08,24-05-2023 14:08,31-05-2023 16:37,171,Offered,7,7,67,2775,1335,10270,5230,4359,2199,Is my treatment covered (IMTC)
291597,10169154413085,Reimbursement Claims,Hold,Low,Mail,01-04-2023 19:41,24-04-2023 14:55,03-04-2023 15:12,02-04-2023 15:01,,,,6,7,1289,2729,1289,,,20162,10110,-
294411,8593330950045,Reimbursement Claims,Closed,Low,Mail,05-04-2023 10:18,07-06-2023 07:36,05-04-2023 12:54,05-04-2023 12:54,10-05-2023 12:45,842,,6,10,1148,1868,1148,50547,25347,45983,23807,-
294537,8024543215773,Reimbursement Claims,Closed,Low,Mail,05-04-2023 11:47,17-05-2023 06:11,05-04-2023 13:11,05-04-2023 13:11,18-04-2023 15:42,316,,6,7,426,426,426,18955,9595,13043,6837,-
296080,7302854046237,Support,Closed,Low,Internal Communication,06-04-2023 16:06,02-06-2023 06:09,06-04-2023 16:27,06-04-2023 16:27,04-05-2023 13:12,669,Offered,6,1,43,43,43,40146,19986,1901,1181,-
298833,7223314000285,Support,Closed,Low,Internal Communication,10-04-2023 18:29,05-06-2023 05:59,10-04-2023 18:49,10-04-2023 18:49,07-05-2023 09:37,639,Offered,6,8,34,291,150,38348,18908,16164,8798,-
299964,8565186242589,Endorsements,Closed,Low,Mail,11-04-2023 17:46,15-06-2023 17:37,11-04-2023 21:32,11-04-2023 21:32,26-05-2023 16:37,1079,,6,7,305,1025,305,64731,32331,13216,6735,-
304340,8634205437597,Reimbursement Claims,Closed,Low,Mail,16-04-2023 20:36,07-06-2023 06:10,17-04-2023 14:52,17-04-2023 14:52,09-05-2023 12:08,544,,6,7,838,2278,838,32612,16052,20435,10170,-
309009,10523342071837,Support,Closed,Low,Mail,21-04-2023 10:20,28-04-2023 09:59,28-04-2023 09:59,21-04-2023 10:46,28-04-2023 09:59,168,4,6,3,63,468,468,10059,5019,2848,1408,Claims
309440,6659076264989,Onboardings,Closed,Low,Mail,21-04-2023 15:43,07-06-2023 06:45,24-04-2023 10:36,24-04-2023 10:36,17-05-2023 15:42,624,,6,7,1981,4141,1981,37439,18719,4828,2309,-
311482,7302240593949,Reimbursement Claims,Closed,Low,Mail,24-04-2023 20:16,08-06-2023 16:35,26-04-2023 17:13,25-04-2023 10:00,19-05-2023 16:19,596,,6,0,,22375,10855,35762,17222,26946,13266,-
320228,10768136922013,Support,Solved,Low,Mail,04-05-2023 20:10,30-05-2023 09:43,05-05-2023 10:34,05-05-2023 10:34,30-05-2023 09:43,614,4,6,9,157,5105,2225,36814,18094,13206,6162,Is my treatment covered (IMTC)
322735,7302762713245,Reimbursement Claims,Closed,Low,Mail,08-05-2023 15:24,11-06-2023 17:37,12-05-2023 13:16,08-05-2023 15:38,22-05-2023 17:03,338,,6,7,1598,5632,2752,20259,10179,15538,7844,-
322829,7302628482205,Support,Solved,Low,Mail,08-05-2023 16:36,13-06-2023 12:42,08-05-2023 17:26,08-05-2023 17:26,13-06-2023 12:42,860,4,6,8,72,2671,1231,51606,25686,6843,3243,Claims
339791,7235574837405,Support,Solved,Low,Internal Communication,26-05-2023 22:57,12-06-2023 18:11,27-05-2023 11:46,27-05-2023 11:46,12-06-2023 18:11,403,Offered,6,1,181,783,181,24193,12071,1189,587,-
340666,11219324832541,Support,Solved,Low,Mail,28-05-2023 18:10,11-06-2023 17:12,08-06-2023 14:29,28-05-2023 18:27,11-06-2023 17:12,335,4,6,12,17,61,61,20102,10022,12167,5821,Claims
341714,11237848082845,Support,Solved,Low,Mail,29-05-2023 20:55,14-06-2023 09:20,30-05-2023 09:35,30-05-2023 09:35,14-06-2023 09:20,372,1,6,7,99,819,99,22345,10825,3782,936,Health ID
295790,7303450074269,Reimbursement Claims,Closed,Low,OutBound,06-04-2023 12:21,04-05-2023 15:01,06-04-2023 12:21,06-04-2023 12:21,04-05-2023 15:01,675,,5,4,26,7602,4002,40480,20320,12935,6546,-
297965,10310412486429,Support,Closed,Low,Mail,09-04-2023 17:56,10-05-2023 06:10,10-04-2023 10:13,10-04-2023 10:13,11-04-2023 09:18,39,2,5,3,290,1253,533,2362,922,1544,638,Others
298525,8458428765597,Reimbursement Claims,Closed,Low,Mail,10-04-2023 14:54,07-06-2023 07:36,10-04-2023 16:56,10-04-2023 16:56,11-05-2023 10:57,740,,5,5,237,237,237,44403,22083,24980,12740,-
298606,7237209522461,Support,Closed,Low,Internal Communication,10-04-2023 15:43,10-05-2023 06:10,10-04-2023 16:31,10-04-2023 16:31,11-04-2023 11:19,20,Offered,5,3,51,51,51,1175,455,921,201,-
299797,7303451672093,Support,Closed,Low,Mail,11-04-2023 15:51,07-06-2023 07:36,11-04-2023 17:10,11-04-2023 17:10,13-05-2023 12:33,765,4,5,8,125,2727,1287,45882,22842,13456,6948,Claims
301867,10378142912029,Support,Open,Low,Mail,13-04-2023 13:00,18-06-2023 00:54,22-05-2023 17:52,13-04-2023 15:05,,,,5,12,157,8461,4141,,,53181,26259,Others
302005,10298585586973,Support,Open,Low,OutBound,13-04-2023 15:05,20-04-2023 17:17,13-04-2023 15:05,13-04-2023 15:05,,,,5,7,552,1803,1074,,,3744,2065,Claims
302998,7303505723549,Reimbursement Claims,Closed,Low,OutBound,14-04-2023 13:26,07-06-2023 07:35,14-04-2023 13:26,14-04-2023 13:26,11-05-2023 15:21,650,,5,6,2614,0,0,38995,19555,27701,13982,-
303326,9659717562141,Reimbursement Claims,Solved,Low,OutBound,14-04-2023 18:10,09-06-2023 20:16,14-04-2023 18:10,14-04-2023 18:10,09-06-2023 20:16,1346,,5,7,2330,4570,2330,80766,40446,41201,20327,-
303899,7251420301085,Support,Solved,Low,Mail,15-04-2023 14:49,07-06-2023 21:13,15-04-2023 15:50,15-04-2023 15:50,07-06-2023 21:13,1278,Offered,5,9,103,7570,3970,76704,38531,24805,13927,Health ID
306330,7235158982301,Endorsements,Solved,Low,Mail,18-04-2023 19:04,30-05-2023 12:02,27-04-2023 12:41,19-04-2023 12:29,30-05-2023 12:02,1001,,5,22,698,1418,698,60058,29818,9203,4163,-
308105,8697284753181,Reimbursement Claims,Solved,Low,Mail,20-04-2023 12:38,12-06-2023 14:37,20-04-2023 12:49,20-04-2023 12:49,12-06-2023 14:37,1274,,5,13,348,348,348,76439,38279,56267,28188,-
308121,8571917630493,Onboardings,Closed,Low,Closed Ticket,20-04-2023 12:51,07-06-2023 06:45,25-04-2023 17:42,20-04-2023 20:11,12-05-2023 11:54,527,,5,1,829,1549,829,31623,15783,4729,2569,-
310210,10472021062173,Support,Closed,Low,Mail,22-04-2023 17:57,31-05-2023 06:09,23-04-2023 12:31,23-04-2023 12:31,02-05-2023 17:59,240,4,5,3,402,1122,402,14403,7203,4576,2424,Claims
310660,9452047749149,Support,Hold,Low,Mail,24-04-2023 09:52,18-06-2023 12:04,24-04-2023 10:20,24-04-2023 10:20,,,,5,24,101,5853,2973,,,25681,12721,Is my treatment covered (IMTC)
314034,7303504054301,Reimbursement Claims,Open,Low,Mail,27-04-2023 11:45,19-06-2023 06:46,29-05-2023 14:10,27-04-2023 12:26,,,,5,6,299,299,299,,,32534,16828,-
315109,8035295335197,Onboardings,Pending,Low,Mail,28-04-2023 12:07,02-06-2023 14:03,02-05-2023 12:20,02-05-2023 12:20,,,,5,22,2893,37429,18709,,,10307,5267,-
315559,10656835778333,Reimbursement Claims,Solved,Low,Mail,28-04-2023 18:45,03-06-2023 18:39,01-05-2023 18:14,01-05-2023 18:14,02-06-2023 20:40,842,,5,6,3147,6747,3147,50516,25316,19348,9988,-
315786,7302623591581,Endorsements,Solved,Low,Mail,29-04-2023 07:00,06-06-2023 17:28,12-05-2023 12:40,12-05-2023 12:40,06-06-2023 17:28,922,,5,7,12444,37653,18813,55348,27868,25467,13108,-
315917,7223472162077,Support,Closed,Low,Internal Communication,29-04-2023 11:52,16-06-2023 12:36,29-04-2023 13:11,29-04-2023 13:11,27-05-2023 12:10,672,Offered,5,5,114,114,114,40338,20178,1463,743,Claims
317579,10496664092445,Support,Closed,Low,Mail,02-05-2023 15:26,14-06-2023 10:33,02-05-2023 16:00,02-05-2023 16:00,25-05-2023 09:30,546,Offered,5,9,67,67,67,32764,16204,14529,6610,-
318020,7985854783773,Reimbursement Claims,Solved,Low,Mail,03-05-2023 03:39,15-06-2023 10:53,03-05-2023 13:39,03-05-2023 13:39,15-06-2023 10:53,1039,,5,6,340,661,340,62354,31073,41295,20117,-
319459,8200468405021,Support,Closed,Low,Mail,04-05-2023 12:04,08-06-2023 09:33,04-05-2023 13:00,04-05-2023 13:00,19-05-2023 09:25,357,Offered,5,5,69,69,69,21441,10641,1077,357,Claims
319491,7254610497309,Support,Closed,Low,Internal Communication,04-05-2023 12:24,04-06-2023 06:02,04-05-2023 12:53,04-05-2023 12:53,06-05-2023 12:38,48,Offered,5,7,48,48,48,2894,1454,135,135,Health ID
322999,10834117025309,Reimbursement Claims,Open,Low,Mail,08-05-2023 18:22,17-06-2023 12:17,29-05-2023 14:09,08-05-2023 18:34,,,,5,11,32,5530,2650,,,30240,14506,-
323275,8609239210269,Reimbursement Claims,Hold,Low,Mail,09-05-2023 09:55,12-06-2023 18:51,16-05-2023 10:14,09-05-2023 13:00,,,,5,18,1146,30474,15354,,,48426,24486,-
323335,8958865894429,Reimbursement Claims,Open,Low,Mail,09-05-2023 10:48,16-06-2023 18:58,09-05-2023 13:12,09-05-2023 10:51,,,,5,9,66,3215,1775,,,40867,20707,-
325985,9384376686109,Reimbursement Claims,Solved,Low,Mail,11-05-2023 21:34,07-06-2023 18:24,12-05-2023 10:44,12-05-2023 10:44,07-06-2023 18:24,645,,5,14,353,19679,9633,38691,19285,36179,18033,-
329861,7302860914077,Support,Solved,Low,Mail,16-05-2023 16:58,31-05-2023 06:09,16-05-2023 17:04,16-05-2023 17:04,31-05-2023 06:09,349,3,5,8,19,1717,962,20951,10322,8696,4512,Is my treatment covered (IMTC)
333139,7223313994525,Endorsements,Open,Low,Mail,19-05-2023 17:50,17-06-2023 12:28,22-05-2023 12:56,22-05-2023 12:56,,,,5,7,4631,18728,9368,,,15300,7380,-
333961,7636223730077,Reimbursement Claims,Solved,Low,Mail,21-05-2023 10:43,15-06-2023 23:31,22-05-2023 10:07,22-05-2023 10:07,15-06-2023 23:31,613,,5,5,1336,2198,1336,36768,18616,12439,6922,-
335440,11116238863773,Support,Solved,Low,Mail,23-05-2023 10:30,18-06-2023 10:49,23-05-2023 10:41,23-05-2023 10:41,18-06-2023 10:49,624,Offered,5,5,102,313,313,37458,18738,10121,5081,Claims
337088,11019589706013,Reimbursement Claims,Hold,Low,Mail,24-05-2023 16:53,13-06-2023 22:19,25-05-2023 10:10,25-05-2023 10:10,,,,5,8,671,7283,3683,,,24705,12386,-
341011,11228795899549,Support,Solved,Low,Mail,29-05-2023 12:04,06-06-2023 17:40,29-05-2023 12:34,29-05-2023 12:34,06-06-2023 17:40,198,2,5,7,37,10117,5077,11857,6097,10500,5412,-
292009,10182610745885,Reimbursement Claims,Closed,Low,Mail,02-04-2023 21:26,08-06-2023 00:33,03-04-2023 15:12,03-04-2023 15:12,18-05-2023 23:56,1107,,4,6,720,28208,13834,66390,33120,53527,26578,-
292342,10191453399965,Support,Closed,Low,Mail,03-04-2023 12:40,27-05-2023 06:08,03-04-2023 12:43,03-04-2023 12:43,28-04-2023 21:07,608,Offered,4,3,18,18,18,36507,18499,1594,866,Claims
292624,7303156639133,Reimbursement Claims,Closed,Low,Mail,03-04-2023 15:16,07-06-2023 07:36,12-05-2023 18:15,03-04-2023 15:23,13-05-2023 12:51,958,,4,11,25,284,284,57455,28655,14914,7714,-
293735,10216919947293,Support,Closed,Low,Mail,04-04-2023 15:47,06-05-2023 06:04,04-04-2023 16:05,04-04-2023 16:05,07-04-2023 15:17,72,2,4,5,28,1099,379,4290,2130,2261,821,Claims
293764,9805838534173,Support,Closed,Low,Closed Ticket,04-04-2023 16:05,02-06-2023 06:09,04-04-2023 17:28,04-04-2023 17:28,04-05-2023 13:49,718,Offered,4,6,92,318,294,43064,21464,3419,1761,Claims
294680,10235722607645,Support,Closed,Low,Mail,05-04-2023 13:22,06-06-2023 06:12,05-04-2023 14:35,05-04-2023 14:35,08-05-2023 12:54,792,4,4,4,1358,7459,3859,47491,23731,11453,5689,Claims
294816,8168987904285,Support,Hold,Low,Closed Ticket,05-04-2023 15:08,17-04-2023 19:09,05-04-2023 17:45,05-04-2023 17:45,,,,4,6,251,251,251,,,13678,7198,Claims
294838,10238343580061,Support,Closed,Low,Mail,05-04-2023 15:23,10-05-2023 06:11,06-04-2023 10:22,05-04-2023 16:39,11-04-2023 12:22,141,4,4,3,429,1149,429,8458,4138,1311,591,Is my treatment covered (IMTC)
296038,9789958097437,Reimbursement Claims,Solved,Low,Mail,06-04-2023 15:39,09-06-2023 10:42,06-04-2023 15:47,06-04-2023 15:47,09-06-2023 10:42,1531,,4,13,198,198,198,91863,45783,88579,44351,-
296161,8287777634845,Reimbursement Claims,Closed,Low,Mail,06-04-2023 16:51,18-06-2023 16:35,06-04-2023 18:24,06-04-2023 18:24,29-05-2023 15:56,1271,,4,12,106,106,106,76265,38105,57419,28601,-
296403,6764218515229,Support,Closed,Low,Internal Communication,06-04-2023 20:26,25-05-2023 06:10,07-04-2023 13:13,07-04-2023 13:13,26-04-2023 14:58,475,Offered,4,3,515,1235,515,28472,14072,10083,5043,-
297288,10129329292317,Reimbursement Claims,Closed,Low,Mail,08-04-2023 08:22,07-06-2023 07:36,09-04-2023 22:26,09-04-2023 22:26,12-05-2023 10:36,818,,4,15,2160,3767,2160,49094,24576,42051,21073,-
298962,7239597056413,Reimbursement Claims,Closed,Low,Mail,10-04-2023 21:06,15-06-2023 19:40,11-04-2023 09:54,11-04-2023 09:54,26-05-2023 19:25,1102,,4,3,1180,10851,5097,66140,33026,59722,29308,-
299903,10341801887901,Reimbursement Claims,Hold,Low,Mail,11-04-2023 16:56,20-04-2023 16:31,12-04-2023 10:20,12-04-2023 10:20,,,,4,5,702,1422,702,,,7140,3540,-
300016,7273975050013,Reimbursement Claims,Hold,Low,Mail,11-04-2023 18:25,16-06-2023 09:20,12-04-2023 10:56,12-04-2023 10:56,,,,4,16,590,1310,590,,,90030,44670,-
300121,10093281590685,Reimbursement Claims,Closed,Low,Mail,11-04-2023 19:47,09-06-2023 21:37,12-04-2023 11:08,12-04-2023 11:08,20-05-2023 20:31,937,,4,8,793,1717,793,56205,27045,36520,18690,-
300395,10354417506717,Support,Closed,Low,Mail,12-04-2023 07:44,23-05-2023 06:11,12-04-2023 08:48,12-04-2023 08:48,24-04-2023 08:36,289,4,4,4,87,1772,977,17332,8640,12274,5743,Claims
300429,10355118491165,Support,Solved,Low,Mail,12-04-2023 09:58,07-06-2023 14:21,07-06-2023 14:21,12-04-2023 10:44,30-05-2023 14:13,1156,Offered,4,17,57,3045,1605,69376,34816,60305,29885,Is my treatment covered (IMTC)
300603,7303442422173,Reimbursement Claims,Closed,Low,Mail,12-04-2023 12:19,07-06-2023 07:35,12-04-2023 16:01,12-04-2023 16:01,16-05-2023 18:06,822,,4,5,1472,2912,1472,49307,24827,22066,11265,-
300780,10361783216285,Support,Closed,Low,Mail,12-04-2023 14:40,31-05-2023 06:09,28-04-2023 14:19,12-04-2023 15:45,02-05-2023 13:24,479,Offered,4,7,103,1392,672,28724,14324,10017,4977,Not Applicable
301269,8394942144541,Reimbursement Claims,Closed,Low,Mail,12-04-2023 23:02,14-06-2023 01:34,13-04-2023 11:01,13-04-2023 11:01,25-05-2023 01:04,1010,,4,8,148,1052,454,60602,30240,59310,29490,-
302320,10339082226205,Support,Solved,Low,Mail,13-04-2023 19:01,02-06-2023 19:15,14-04-2023 08:21,14-04-2023 08:21,02-06-2023 19:15,1200,4,4,7,5766,10105,5065,72013,36013,70769,35489,-
302787,7760561594141,Support,Closed,Low,Mail,14-04-2023 10:43,16-05-2023 06:09,14-04-2023 10:55,14-04-2023 10:55,17-04-2023 12:55,74,4,4,5,29,82,82,4452,2292,4282,2122,-
303664,7223472162077,Support,Closed,Low,Internal Communication,15-04-2023 09:09,23-05-2023 06:10,15-04-2023 11:22,15-04-2023 11:22,24-04-2023 14:57,222,Offered,4,6,168,458,458,13307,6827,961,957,-
304530,9765224843549,Reimbursement Claims,Solved,Low,Mail,17-04-2023 09:58,15-06-2023 10:52,17-04-2023 15:01,17-04-2023 15:01,15-06-2023 10:52,1417,,4,10,1049,1769,1049,85014,42534,65805,32986,-
306107,7976458398493,Endorsements,Closed,Low,Mail,18-04-2023 15:54,13-06-2023 21:36,19-04-2023 12:01,19-04-2023 12:01,24-05-2023 20:57,869,,4,8,26,9902,4862,52143,26223,19665,9715,-
306226,7223314000285,Support,Closed,Low,Internal Communication,18-04-2023 17:30,07-06-2023 19:39,18-04-2023 17:41,18-04-2023 17:41,18-05-2023 19:00,722,Offered,4,5,1150,2590,1150,43290,21690,6821,3221,-
306237,7297046555293,Support,Closed,Low,Mail,18-04-2023 17:39,07-06-2023 06:45,18-04-2023 18:19,18-04-2023 18:19,10-05-2023 07:57,518,4,4,8,85,960,240,31098,15321,12970,5884,Is my treatment covered (IMTC)
306403,7224124808605,Support,Closed,Low,Internal Communication,18-04-2023 20:30,01-06-2023 06:08,19-04-2023 10:26,19-04-2023 10:26,03-05-2023 20:44,360,Offered,4,3,118,8472,4152,21614,10814,15877,7957,Is my treatment covered (IMTC)
308471,7552706768541,Reimbursement Claims,Closed,Low,Mail,20-04-2023 17:04,14-06-2023 13:36,20-04-2023 17:46,20-04-2023 17:46,25-05-2023 13:09,836,,4,11,1066,2506,1066,50164,24964,46922,23474,-
309206,9309006555549,Reimbursement Claims,Solved,Low,Mail,21-04-2023 12:48,05-06-2023 14:22,21-04-2023 16:30,21-04-2023 16:30,05-06-2023 14:22,1082,,4,14,249,249,249,64893,32493,60841,30421,-
310260,10546898747549,Support,Solved,Low,Mail,22-04-2023 19:14,06-06-2023 13:00,08-05-2023 08:58,23-04-2023 12:31,06-06-2023 13:00,1074,4,4,5,358,1078,358,64425,32025,25041,12081,Claims
310379,10144527975453,Support,Closed,Low,Mail,23-04-2023 10:32,12-06-2023 12:37,07-06-2023 14:21,23-04-2023 12:31,23-05-2023 12:00,721,Offered,4,11,138,4419,2259,43288,21688,7124,3524,Is my treatment covered (IMTC)
310686,7290782777373,Endorsements,Closed,Low,OutBound,24-04-2023 10:23,27-05-2023 06:08,24-04-2023 10:23,24-04-2023 10:23,28-04-2023 11:35,97,,4,4,35,0,0,5832,2952,118,118,-
311078,7262799477533,Support,Open,Low,Mail,24-04-2023 14:37,16-06-2023 12:42,03-05-2023 22:33,24-04-2023 14:51,,,,4,11,38,1170,450,,,53044,26404,Claims
311217,8905803062813,Reimbursement Claims,Closed,Low,Mail,24-04-2023 16:33,12-06-2023 16:37,24-04-2023 18:08,24-04-2023 18:08,23-05-2023 15:45,695,,4,6,182,182,182,41712,20832,39706,19610,-
312376,8082236643613,Reimbursement Claims,Solved,Low,OutBound,25-04-2023 17:58,07-06-2023 19:04,25-04-2023 17:58,25-04-2023 17:58,07-06-2023 19:04,1033,,4,8,1979,0,0,61986,31026,60117,29698,-
313606,10619058879517,Reimbursement Claims,Hold,Low,Mail,26-04-2023 20:19,05-05-2023 12:34,27-04-2023 14:41,27-04-2023 14:41,,,,4,6,574,1294,574,,,8873,4098,-
314289,10178886343197,Support,Solved,Low,Mail,27-04-2023 14:24,15-06-2023 10:59,28-04-2023 16:08,27-04-2023 14:26,15-06-2023 10:59,1173,Offered,4,11,473,7341,3741,70355,35075,61645,30862,Claims
314407,7224143763741,Support,Open,Low,Mail,27-04-2023 16:04,17-06-2023 17:25,27-04-2023 16:45,27-04-2023 16:45,,,,4,8,50,10260,5220,,,40763,20603,-
314974,7234909497373,Support,Closed,Low,Internal Communication,28-04-2023 10:48,12-06-2023 10:32,28-04-2023 10:52,28-04-2023 10:52,23-05-2023 10:14,599,Offered,4,9,1,9086,4766,35965,17965,13174,6549,Network or Blacklisted Hospitals
315122,7303069485597,Endorsements,Closed,Low,OutBound,28-04-2023 12:18,07-06-2023 06:44,28-04-2023 12:18,28-04-2023 12:18,12-05-2023 15:11,339,,4,4,9321,18681,9321,20333,10253,250,250,-
315149,10649220018205,Support,Closed,Low,Mail,28-04-2023 12:45,01-06-2023 06:08,28-04-2023 12:47,28-04-2023 12:47,03-05-2023 14:28,122,4,4,9,15,15,15,7303,3703,6214,2618,-
316064,9710270179229,Reimbursement Claims,Hold,Low,Closed Ticket,29-04-2023 16:10,16-06-2023 18:50,01-05-2023 18:39,01-05-2023 18:39,,,,4,8,1690,3130,1690,,,27086,13934,-
316148,10590398097821,Reimbursement Claims,Closed,Low,Mail,29-04-2023 18:03,07-06-2023 06:44,01-05-2023 18:38,01-05-2023 18:38,16-05-2023 11:36,402,,4,10,1781,3941,1781,24093,11853,23766,11526,-
316382,10684505811741,Support,Hold,Low,Mail,30-04-2023 14:43,16-06-2023 15:47,16-06-2023 15:42,30-04-2023 16:51,,,,4,9,1216,34820,17540,,,59821,29581,-
316632,10697524639133,Reimbursement Claims,Closed,Low,Mail,01-05-2023 11:24,03-06-2023 06:08,01-05-2023 18:55,01-05-2023 18:55,05-05-2023 12:29,97,,4,3,1242,1962,1242,5825,2945,3741,2356,-
317254,6764218515229,Support,Closed,Low,Internal Communication,02-05-2023 12:04,13-06-2023 10:33,02-05-2023 12:08,02-05-2023 12:08,24-05-2023 09:56,526,Offered,4,3,56,1540,820,31552,15712,2635,1195,Claims
317363,9973394543517,Support,Closed,Low,Closed Ticket,02-05-2023 13:09,14-06-2023 00:34,02-05-2023 17:51,02-05-2023 17:51,25-05-2023 00:15,539,Offered,4,5,471,481,471,32346,16311,31545,15715,Is my treatment covered (IMTC)
317947,9509572881949,Reimbursement Claims,Hold,Low,Mail,02-05-2023 20:15,16-06-2023 17:51,02-05-2023 22:13,02-05-2023 22:13,,,,4,3,45,143,45,,,37531,19308,-
317964,7303056680733,Support,Closed,Low,Mail,02-05-2023 21:11,14-06-2023 09:33,03-05-2023 08:21,03-05-2023 08:21,25-05-2023 09:04,540,4,4,3,17,725,17,32393,15845,2303,182,-
318825,7297610732957,Support,Open,Low,Mail,03-05-2023 16:58,16-06-2023 19:41,18-05-2023 10:25,03-05-2023 17:55,,,,4,14,93,30203,15083,,,51994,25879,Claims
319653,9938802134941,Reimbursement Claims,Solved,Low,Mail,04-05-2023 14:26,06-06-2023 21:05,04-05-2023 17:21,04-05-2023 17:21,06-06-2023 21:05,799,,4,5,394,551,394,47920,24154,25261,13024,-
